CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,17:35,QUEENS,11369,40.758457,-73.86675,"(40.758457, -73.86675)",,,32-48     102 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3429244,Station Wagon/Sport Utility Vehicle,,,,
03/18/2016,10:25,QUEENS,11434,,,,ANDERSON ROAD                   ,180 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3428202,Sedan,Sedan,,,
03/18/2016,23:00,,,40.66956,-73.846344,"(40.66956, -73.846344)",,,SOUTH CONDUIT AVENUE                    ,5,0,0,0,0,0,5,0,Unspecified,Unspecified,,,,3424463,4 dr sedan,4 dr sedan,,,
03/18/2016,21:35,MANHATTAN,10009,40.721264,-73.98164,"(40.721264, -73.98164)",,,252       EAST 2 STREET                 ,1,0,1,0,0,0,0,0,,,,,,4290584,,,,,
03/18/2016,19:10,BROOKLYN,11219,40.63949,-73.998245,"(40.63949, -73.998245)",,,4802      10 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3415853,Ambulance,Ambulance,,,
03/18/2016,11:33,,,,,,,st felix street,,0,0,0,0,0,0,0,0,Unspecified,,,,,3421043,4 dr sedan,,,,
03/18/2016,12:40,BROOKLYN,11218,40.63929,-73.97983,"(40.63929, -73.97983)",,,329       DAHILL ROAD                   ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3415847,Station Wagon/Sport Utility Vehicle,Bike,,,
03/18/2016,12:30,,,,,,,lafayette ave,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3421044,4 dr sedan,,,,
03/18/2016,17:45,,,,,,BQE                             ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3420681,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,11:20,,,40.76042,-73.928856,"(40.76042, -73.928856)",,,34 AVENUE                               ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3428703,4 dr sedan,4 dr sedan,,,
03/18/2016,10:25,,,40.669098,-73.93666,"(40.669098, -73.93666)",,,EASTERN PARKWAY                         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3419462,4 dr sedan,4 dr sedan,,,
03/18/2016,17:45,BRONX,10461,40.839172,-73.845535,"(40.839172, -73.845535)",TRATMAN AVENUE                  ,SAINT PETERS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3412490,Sedan,Sedan,,,
03/18/2016,11:53,,,40.794758,-73.94235,"(40.794758, -73.94235)",,,EAST 111 STREET                         ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3437502,4 dr sedan,4 dr sedan,,,
03/18/2016,14:39,MANHATTAN,10029,40.794685,-73.94872,"(40.794685, -73.94872)",,,1605      Madison Ave                   ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3409379,Van,4 dr sedan,,,
03/18/2016,9:18,MANHATTAN,10036,,,,WEST 42 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3406479,Box Truck,,,,
03/18/2016,22:45,MANHATTAN,10012,40.722298,-73.99713,"(40.722298, -73.99713)",LAFAYETTE STREET                ,SPRING STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405634,4 dr sedan,4 dr sedan,,,
03/18/2016,14:00,MANHATTAN,10017,,,,EAST 45 STREET                  ,1 AVENUE,,0,0,0,0,0,0,2,0,Other Vehicular,Passing or Lane Usage Improper,,,,3407594,4 dr sedan,Sedan,,,
03/18/2016,9:50,MANHATTAN,10023,,,,WEST 74 STREET                  ,CENTRAL PARK WEST,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3409122,4 dr sedan,4 dr sedan,,,
03/18/2016,12:42,MANHATTAN,10023,40.7244,-73.9818,"(40.7244, -73.9818)",CENTRAL PARK WEST               ,WEST 66 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3409125,4 dr sedan,4 dr sedan,,,
03/18/2016,16:45,,,,,,BELT PARKWAY                    ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3417027,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/18/2016,20:04,QUEENS,11369,,,,25 AVENUE                       ,92 STREET,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3429248,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,14:35,,,40.7136,-74.0091,"(40.7136, -74.0091)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3413853,4 dr sedan,4 dr sedan,,,
03/18/2016,10:47,BROOKLYN,11217,,,,ATLANTIC AVENUE                 ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3419721,Carry All,Pick-up Truck,,,
03/18/2016,19:30,BROOKLYN,11217,40.683464,-73.97569,"(40.683464, -73.97569)",,,625       ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3419703,Box Truck,4 dr sedan,,,
03/18/2016,7:30,,,40.593414,-74.15665,"(40.593414, -74.15665)",ROCKLAND AVENUE                 ,MERRYMOUNT STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Following Too Closely,,,,3429930,Station Wagon/Sport Utility Vehicle,,,,
03/18/2016,13:20,QUEENS,11385,40.7136,-74.0091,"(40.7136, -74.0091)",CYPRESS AVENUE                  ,CORNELIA STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3423130,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,10:35,BROOKLYN,11210,,,,NOSTRAND AVENUE                 ,FLATBUSH AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3417267,DELV,4 dr sedan,,,
03/18/2016,10:00,,,40.674,-73.8721,"(40.674, -73.8721)",59 AVENUE                       ,63 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3423128,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,23:50,,,40.7769,-73.9413,"(40.7769, -73.9413)",HILLSIDE AVENUE                 ,165 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3422657,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,18:30,QUEENS,11375,,,,78 AVENUE                       ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3427831,Sedan,Station Wagon/Sport Utility Vehicle,,,
