CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/07/2016,16:01,QUEENS,11420,40.677799,-73.8238401,"(40.677799, -73.8238401)",LINDEN BOULEVARD                ,115 STREET                      ,,1,0,0,0,0,0,1,0,Physical Disability,Unspecified,,,,3385866,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,3:40,MANHATTAN,10014,40.7278775,-74.0054264,"(40.7278775, -74.0054264)",KING STREET                     ,VARICK STREET                   ,,0,0,0,0,0,0,0,0,,,,,,3388731,OTHER,PASSENGER VEHICLE,,,
02/07/2016,12:09,MANHATTAN,10028,40.7788219,-73.953985,"(40.7788219, -73.953985)",3 AVENUE                        ,EAST 86 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384991,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,23:30,,,,,,,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3385876,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,13:00,BROOKLYN,11229,40.5986294,-73.9582575,"(40.5986294, -73.9582575)",AVENUE U                        ,EAST 13 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3386771,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,1:15,BROOKLYN,11206,40.7013718,-73.9445677,"(40.7013718, -73.9445677)",,,48 WHIPPLE STREET                       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3385213,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,19:35,BROOKLYN,11208,40.6765301,-73.8683819,"(40.6765301, -73.8683819)",CONDUIT AVENUE                  ,AUTUMN AVENUE                   ,,0,0,0,0,0,0,0,0,Pavement Defective,,,,,3385743,SPORT UTILITY / STATION WAGON,,,,
02/07/2016,15:30,,,,,,OCEAN PARKWAY                   ,SHORE PARKWAY                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3385646,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,16:52,,,,,,,,PARKING LOT- 772 EDGEWATER RD           ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3385581,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,
02/07/2016,0:50,,,40.7992626,-73.9748817,"(40.7992626, -73.9748817)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3385004,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,12:50,BROOKLYN,11219,40.6395755,-73.9981372,"(40.6395755, -73.9981372)",10 AVENUE                       ,48 STREET                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3385687,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
02/07/2016,20:16,STATEN ISLAND,10312,40.5334592,-74.1925941,"(40.5334592, -74.1925941)",,,P/L 862 HUGUENOT AVE                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3385991,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,6:17,BROOKLYN,11212,40.6614483,-73.9282839,"(40.6614483, -73.9282839)",EAST 91 STREET                  ,RUTLAND ROAD                    ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Animals Action,,,,3385133,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,5:30,BRONX,10466,40.8982746,-73.8504934,"(40.8982746, -73.8504934)",NEREID AVENUE                   ,WICKHAM AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385058,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/07/2016,14:00,BRONX,10460,40.8399027,-73.8756121,"(40.8399027, -73.8756121)",BRONX PARK AVENUE               ,EAST TREMONT AVENUE             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3385624,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/07/2016,10:40,,,,,,EAST 135 STREET                 ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3385579,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,9:40,QUEENS,11105,40.7710846,-73.9082189,"(40.7710846, -73.9082189)",STEINWAY STREET                 ,23 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inexperience,Physical Disability,Unspecified,,,3385403,SPORT UTILITY / STATION WAGON,VAN,SPORT UTILITY / STATION WAGON,,
02/07/2016,12:25,QUEENS,11101,40.7552333,-73.9412383,"(40.7552333, -73.9412383)",40 AVENUE                       ,21 STREET                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3385968,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
